IP [Hidden],port,service,banner,country,regname,city,latitude,longitude
1,5672,AMQP,"AMQP",Albania,Tirana District,Tirana,41.3275,19.8189
2,5672,AMQP,"AMQP_x0001__x0001_ ",Albania,,,41,20
3,5672,AMQP,"AMQP",Switzerland,Zurich,Zurich,47.3667,8.55
4,5672,AMQP,"AMQP_x0001__x0001_ ",Austria,Lower Austria,Krems,48.4174,15.5625
5,5672,AMQP,"AMQP   _x0001_",Afghanistan,,,33,65
6,5672,AMQP,"AMQP_x0001__x0001_ ",Argentina,Buenos Aires,La Plata,-34.9314,-57.9489
7,5672,AMQP,"AMQP   _x0001_",Chile,Region del Biobio,Concepción,-36.8333,-73.05
8,5672,AMQP,"AMQP_x0001__x0001_",Pakistan,Punjab,Lahore,31.4888,74.3686
9,5672,AMQP,"AMQP_x0001__x0001_",Congo,,,,25
10,5672,AMQP,"AMQP_x0001__x0001_",Libya,,,25,17
11,5672,AMQP,"AMQP _x0001_",Kyrgyzstan,,,41,75
12,5672,AMQP,"AMQP   _x0001_",Finland,,,60.1708,24.9375
13,5672,AMQP,"",France,,,48.8582,2.3387
14,5672,AMQP,"AMQP   _x0001_",France,,,48.8582,2.3387
15,5672,AMQP,"AMQP _x0001_",Kuwait,,,29.3375,47.6581
16,10001,ATGs Devices,,Switzerland,,,47.1449,8.1551
17,10001,ATGs Devices,,Switzerland,,,47.1449,8.1551
18,10001,ATGs Devices,,Switzerland,Ticino,Ascona,46.1545,8.7733
19,10001,ATGs Devices,,Argentina,San Luis,San Luis,-33.3,-66.35
20,10001,ATGs Devices,,Belgium,Flemish Brabant Province,Overijse,50.7667,4.5333
21,10001,ATGs Devices,,Germany,,,51.2993,9.491
22,10001,ATGs Devices,,Germany,Schleswig-Holstein,Kellinghusen,53.952,9.7196
23,10001,ATGs Devices,,Germany,Hamburg,Hamburg,53.5512,9.9662
24,10001,ATGs Devices,,Canada,Ontario,Sault Ste. Marie,46.5168,-84.3333
25,10001,ATGs Devices,,Canada,British Columbia,Cranbrook,49.4999,-115.7688
26,10001,ATGs Devices,,Republic of Korea,,,37.5112,126.9741
27,10001,ATGs Devices,,Finland,,,60.1708,24.9375
28,10001,ATGs Devices,,France,,,48.8582,2.3387
29,10001,ATGs Devices,,France,,,48.8582,2.3387
30,10001,ATGs Devices,,France,,,48.8582,2.3387
31,10001,ATGs Devices,,Spain,,,40.4172,-3.684
32,10001,ATGs Devices,,United States,Georgia,Covington,33.5968,-83.8602
33,10001,ATGs Devices,,Australia,New South Wales,Abbotsford,-33.8489,151.128
34,10001,ATGs Devices,,Belgium,West Flanders Province,Koekelare,51.0833,2.9667
35,10001,ATGs Devices,,United States,Tennessee,Oneida,36.5101,-84.4693
36,10001,ATGs Devices,,Germany,Hesse,Weiterstadt,49.9039,8.5887
37,10001,ATGs Devices,,Australia,New South Wales,Sans Souci,-33.9979,151.1293
38,10001,ATGs Devices,,Spain,Madrid,Madrid,40.4167,-3.68379999999999
39,10001,ATGs Devices,,Germany,Bavaria,Aschaffenburg,49.9751,9.1314
40,10001,ATGs Devices,,Spain,Saragossa,Zaragoza,41.6561,-0.8773
41,10001,ATGs Devices,,Canada,Ontario,Barrie,44.3572,-79.6929
42,10001,ATGs Devices,,Germany,Bavaria,Kempten (Allgaeu),47.7229,10.3288
43,10001,ATGs Devices,,Turkey,Istanbul,Istanbul,41.0186,28.9647
44,10001,ATGs Devices,,Canada,,,43.6319,-79.3716
45,10001,ATGs Devices,,Germany,Baden-Württemberg Region,Freiburg,47.9809,7.8327
46,10001,ATGs Devices,,United States,Mississippi,Vicksburg,32.2224,-90.8293
47,10001,ATGs Devices,,Israel,Central District,Netanya,32.3329,34.8599
48,10001,ATGs Devices,,Canada,British Columbia,Vernon,50.084,-118.938
49,10001,ATGs Devices,,Australia,Queensland,Wellington Point,-27.4833,153.25
50,10001,ATGs Devices,,Belgium,Antwerp Province,Herenthout,51.15,4.7667
51,10001,ATGs Devices,,Austria,Vienna,Vienna,48.2,16.3667
52,10001,ATGs Devices,,Spain,A Coruña,A Coruña,43.3666,-8.4068
53,10001,ATGs Devices,,United States,California,Patterson,37.4957,-121.2546
54,10001,ATGs Devices,,Spain,Ciudad Real,Ciudad Real,38.9863,-3.9291
55,10001,ATGs Devices,,Italy,Provincia di Brescia,Desenzano del Garda,45.4667,10.5333
56,10001,ATGs Devices,,New Zealand,Marlborough,Blenheim,-41.5456,173.9572
57,10001,ATGs Devices,,Germany,Baden-Württemberg Region,Bietigheim-Bissingen,48.9441,9.1175
58,10001,ATGs Devices,,United States,Delaware,Wilmington,39.7472,-75.5918
59,10001,ATGs Devices,,Belgium,Antwerp Province,Deurne,51.2167,4.4667
60,10001,ATGs Devices,,United States,Missouri,Chesterfield,38.6353,-90.6673
61,10001,ATGs Devices,,United States,Florida,,28.6344,-81.6221
62,10001,ATGs Devices,,Canada,Ontario,Toronto,43.7113,-79.4195
63,10001,ATGs Devices,,United States,New York,Yonkers,40.9513,-73.8773
64,10001,ATGs Devices,,United States,North Carolina,New Bern,35.1427,-77.163
65,10001,ATGs Devices,,Germany,Bavaria,Marzling,48.409,11.7938
66,10001,ATGs Devices,,Turkey,Istanbul,Istanbul,41.0186,28.9647
67,10001,ATGs Devices,,Germany,Lower Saxony,Diepenau,52.4187,8.7176
68,10001,ATGs Devices,,United States,North Carolina,Waynesville,35.6346,-83.023
69,10001,ATGs Devices,,Spain,Valencia,Valencia,39.4667,-0.3667
70,10001,ATGs Devices,,Brazil,,,-22.8305,-43.2192
71,10001,ATGs Devices,,China,Gansu,,36.0564,103.7922
72,10001,ATGs Devices,,China,,,34.7725,113.7266
73,10001,ATGs Devices,,Italy,Provincia di Treviso,Mogliano Veneto,45.5559,12.2429
74,10001,ATGs Devices,,China,Guangdong,,23.1167,113.25
75,10001,ATGs Devices,,United States,,,37.751,-97.822
76,10001,ATGs Devices,,United States,California,Corona,33.9096,-117.6123
77,10001,ATGs Devices,,Brazil,Parana,Palmas,-26.4057,-51.8203
78,10001,ATGs Devices,,Germany,Bavaria,Marzling,48.409,11.7938
79,10001,ATGs Devices,,Peru,Lima,Lima,-12.05,-77.05
80,10001,ATGs Devices,,China,Zhejiang,,30.2936,120.1614
81,10001,ATGs Devices,,Poland,Greater Poland,Poznan,52.4529,16.9476
82,10001,ATGs Devices,,Portugal,Évora,Evora,38.5667,-7.9
83,10001,ATGs Devices,,Germany,Thuringia,Soemmerda,51.1591,11.1152
84,10001,ATGs Devices,,Belgium,Flemish Brabant Province,Kapelle-op-den-Bos,50.9412,4.386
85,10001,ATGs Devices,,Germany,North Rhine-Westphalia,Dortmund,51.5251,7.5475
86,10001,ATGs Devices,,Germany,Bavaria,Munich,48.15,11.5833
87,10001,ATGs Devices,,Spain,Tarragona,Reus,41.1561,1.1069
88,10001,ATGs Devices,,Italy,Milan,Milan,45.4667,9.2
89,10001,ATGs Devices,,United States,Nebraska,Lincoln,40.8057,-96.6444
90,10001,ATGs Devices,,United States,Georgia,Covington,33.5968,-83.8602
91,10001,ATGs Devices,,United States,Michigan,Hastings,42.6318,-85.2931
92,10001,ATGs Devices,,Turkey,Kayseri,Kayseri,38.6323,35.8791
93,10001,ATGs Devices,,Austria,,,48.2,16.3667
94,10001,ATGs Devices,,Belgium,Limburg Province,Hasselt,50.9333,5.3333
95,10001,ATGs Devices,,United States,Mississippi,Southaven,34.9489,-89.9665
96,10001,ATGs Devices,,United States,West Virginia,West Hamlin,38.2883,-82.1173
97,10001,ATGs Devices,,Canada,,,43.6319,-79.3716
98,10001,ATGs Devices,,Germany,North Rhine-Westphalia,Bochum,51.4833,7.2167
99,10001,ATGs Devices,,Germany,,,51.2993,9.491
100,10001,ATGs Devices,,Spain,Valencia,Valencia,39.4667,-0.3667
101,10001,ATGs Devices,,Germany,Land Berlin,Berlin,52.5305,13.4053
102,10001,ATGs Devices,,Poland,Mazovia,Nowy Dwor Mazowiecki,52.4325,20.718
103,10001,ATGs Devices,,Canada,,,43.6319,-79.3716
104,10001,ATGs Devices,,Germany,Thuringia,Altenburg,50.9876,12.4368
105,10001,ATGs Devices,,Germany,Hesse,Giessen,50.6167,8.65
106,10001,ATGs Devices,,United States,North Carolina,Durham,36.0378,-78.9858
107,10001,ATGs Devices,,United States,,,37.751,-97.822
108,10001,ATGs Devices,,United States,,,37.751,-97.822
109,10001,ATGs Devices,,United States,,,37.751,-97.822
110,10001,ATGs Devices,,United States,,,37.751,-97.822
111,10001,ATGs Devices,,United States,North Carolina,Statesville,35.725,-80.9069
112,10001,ATGs Devices,,Germany,Hesse,Frankfurt am Main,50.1039,8.6886
113,10001,ATGs Devices,,United States,,,37.751,-97.822
114,10001,ATGs Devices,,Russia,St.-Petersburg,St Petersburg,59.8944,30.2642
115,10001,ATGs Devices,,Germany,North Rhine-Westphalia,Lichtenau,51.6171,8.8967
116,10001,ATGs Devices,,China,,,34.7725,113.7266
117,10001,ATGs Devices,,Turkey,Istanbul,Istanbul,41.0165,28.9785
118,10001,ATGs Devices,,Belgium,Antwerp Province,Edegem,51.15,4.45
119,10001,ATGs Devices,,Canada,,,43.6319,-79.3716
120,10001,ATGs Devices,,Slovenia,,,46,15
121,10001,ATGs Devices,,Bahamas,New Providence District,Nassau,25.0833,-77.35
122,10001,ATGs Devices,,United States,New York,Staten Island,40.566,-74.1258
123,10001,ATGs Devices,,Russia,St.-Petersburg,St Petersburg,59.8944,30.2642
124,10001,ATGs Devices,,Germany,North Rhine-Westphalia,Lichtenau,51.6171,8.8967
125,10001,ATGs Devices,,China,,,34.7725,113.7266
126,10001,ATGs Devices,,Turkey,Istanbul,Istanbul,41.0165,28.9785
127,10001,ATGs Devices,,Belgium,Antwerp Province,Edegem,51.15,4.45
128,10001,ATGs Devices,,Canada,,,43.6319,-79.3716
129,10001,ATGs Devices,,Slovenia,,,46,15
130,10001,ATGs Devices,,Bahamas,New Providence District,Nassau,25.0833,-77.35
131,10001,ATGs Devices,,United States,New York,Staten Island,40.566,-74.1258
132,10001,ATGs Devices,,Brazil,Parana,Candoi,-25.5131,-52.0224
133,10001,ATGs Devices,,Germany,,,51.2993,9.491
134,10001,ATGs Devices,,United States,Illinois,Chicago,41.8119,-87.6873
135,10001,ATGs Devices,,Germany,Saxony-Anhalt,Bad Lauchstaedt,51.3865,11.8696
136,10001,ATGs Devices,,Germany,Brandenburg,Rangsdorf,52.2913,13.4195
137,47808,BACnet,"Vendor ID: Contemporary Control Systems Inc.(245)
Vendor Name: Tridium
Firmware: 2.6.13FSG
Application Software: 414
Object Name: 
Model Name: Building Operation Automation Server
Description: 
Location:  G r e e t i n g s   f r o m   w w w ,   s t u x n e t   i s   w a t c h i n g   U   : - O",Switzerland,Valais,Sion,46.2274,7.3556
138,47808,BACnet,,Switzerland,Valais,Ravoire,46.1007,7.0458
139,47808,BACnet,,Switzerland,Valais,Ravoire,46.1007,7.0458
140,47808,BACnet,,Switzerland,Zurich,Winterthur,47.5056,8.7241
141,47808,BACnet,,Austria,Vienna,Vienna,48.1433,16.2934
142,47808,BACnet,,Austria,Vienna,Vienna,48.1433,16.2934
143,47808,BACnet,,Belgium,Brussels Capital,Brussels,50.8466,4.3528
144,47808,BACnet,,Belgium,Namur Province,Gembloux,50.5667,4.6833
145,47808,BACnet,,Belgium,,,50.85,4.35
146,47808,BACnet,,Germany,Bavaria,Attenkirchen,48.5047,11.7597
147,47808,BACnet,,Canada,British Columbia,Kamloops,50.8869,-120.7357
148,47808,BACnet,,Canada,British Columbia,Kamloops,50.8869,-120.7357
149,47808,BACnet,,Canada,Quebec,Rouyn-Noranda,48.2855,-78.8234
150,47808,BACnet,,Republic of Korea,Seoul,Seoul,37.5111,126.9743
151,47808,BACnet,,Finland,Uusimaa,Sipoo,60.3667,25.2667
152,47808,BACnet,,France,Paris,Paris,48.8628,2.3292
153,47808,BACnet,,France,Seine-Maritime,Croix-Mare,49.5995,0.8528
154,2455,CoDeSyS,,Germany,,,51.2993,9.491
155,2455,CoDeSyS,,Canada,Ontario,Newmarket,44.058,-79.4526
156,1200,CoDeSyS,,Finland,,,60.1708,24.9375
157,2455,CoDeSyS,,Finland,,,60.1708,24.9375
158,2455,CoDeSyS,,France,,,48.8582,2.3387
159,2455,CoDeSyS,,France,,,48.8582,2.3387
160,2455,CoDeSyS,,Zimbabwe,Harare,Harare,-17.8178,31.0447
161,2455,CoDeSyS,,Norway,,,59.95,10.75
162,1200,CoDeSyS,,Portugal,Porto,Vila Nova de Gaia,41.1336,-8.6174
163,1200,CoDeSyS,,Portugal,,,38.7139,-9.1394
164,2222,CSPV4,,Germany,,,51.2993,9.491
165,2222,CSPV4,,Canada,Alberta,Viking,53.0727,-111.5816
166,2222,CSPV4,,Canada,,,43.6319,-79.3716
167,2222,CSPV4,,Finland,Northern Ostrobothnia,Kempele,64.906,25.5647
168,2222,CSPV4,,Mexico,Sonora,Coyoacan,28.9667,-111.6667
169,2222,CSPV4,,Mexico,Jalisco,Guadalajara,20.6668,-103.3918
170,2222,CSPV4,,Mexico,Estado de Mexico,Toluca,19.2873,-99.645
171,2222,CSPV4,,Peru,Lima,Lima,-12.05,-77.05
172,2222,CSPV4,,Spain,Burgos,Burgos,42.3502,-3.6753
173,2222,CSPV4,,Spain,Madrid,Madrid,40.4167,-3.6838
174,2222,CSPV4,,Spain,,,40.4172,-3.684
175,2222,CSPV4,,Spain,,,40.4172,-3.684
176,2222,CSPV4,,Italy,Provincia di Ancona,Genga,43.4389,12.9034
177,2222,CSPV4,,China,Guangxi,Nanning,22.8167,108.3167
178,2222,CSPV4,,United States,Massachusetts,Lynn,42.4733,-70.9419
179,2222,CSPV4,,United States,Minnesota,Forest Lake,45.2673,-93.0196
180,2222,CSPV4,,Republic of Korea,Incheon,Incheon,37.4536,126.7317
181,2222,CSPV4,,United States,Minnesota,Pine City,45.8427,-92.9077
182,2222,CSPV4,,Republic of Korea,Chungcheongnam-do,,36.1338,127.4806
183,2222,CSPV4,,Brazil,Minas Gerais,Belo Horizonte,-19.9016999999999,-43.9642
184,2222,CSPV4,,Republic of Korea,Incheon,Incheon,37.4536,126.7317
185,2222,CSPV4,,Australia,Victoria,Melbourne,-37.8396,144.9423
186,2222,CSPV4,,United States,Florida,Lakeland,28.0395,-81.9498
187,2222,CSPV4,,United States,Minnesota,Sauk Centre,45.7265,-94.9847
188,2222,CSPV4,,United States,Washington,Woodinville,47.757,-122.0928
189,2222,CSPV4,,United States,Washington,Vashon,47.4206,-122.4509
190,2222,CSPV4,,United States,West Virginia,Stephenson,37.5598,-81.3304
191,2222,CSPV4,,Taiwan,Taipei City,Taipei,25.0478,121.5318
192,2222,CSPV4,,Taiwan,Taichung City,Taichung,24.1469,120.6839
193,2222,CSPV4,,United States,Pennsylvania,State College,40.7849,-77.847
194,2222,CSPV4,,United States,Minnesota,Buffalo,45.1845,-93.8397
195,2222,CSPV4,,United States,Alaska,King Cove,55.085,-162.322
196,2222,CSPV4,,Canada,Alberta,Calgary,51.0833,-114.0833
197,2222,CSPV4,,Hong Kong,,Central District,22.291,114.15
198,2222,CSPV4,,United States,Oregon,Cascade Locks,45.6145,-121.8474
199,2222,CSPV4,,Republic of Korea,Busan,Busan,35.1028,129.0403
200,2222,CSPV4,,Canada,Ontario,Oakville,43.4881,-79.7098
201,2222,CSPV4,,United States,Pennsylvania,Lancaster,40.0052,-76.3246
202,2222,CSPV4,,Canada,Ontario,Belleville,44.1667,-77.3833
203,2222,CSPV4,,Canada,Quebec,Rimouski,48.416,-68.5979
204,2222,CSPV4,,United States,South Dakota,Chamberlain,43.7887,-99.314
205,2222,CSPV4,,Slovakia,Trnava,Vahovce,48.2492,17.7854
206,2222,CSPV4,,United States,Minnesota,Minneapolis,44.9014,-93.2882
207,2222,CSPV4,,United States,California,San Francisco,37.7957,-122.4209
208,2222,CSPV4,,United States,Texas,Houston,29.9845,-95.525
209,2222,CSPV4,,Mexico,Jalisco,Guadalajara,20.6668,-103.3918
210,2222,CSPV4,,Poland,Warmia-Masuria,Lipowo,53.378,20.2731
211,2222,CSPV4,,China,Beijing,,39.9289,116.3883
212,2222,CSPV4,,United States,Florida,Tampa,28.0898,-82.576
213,2222,CSPV4,,Canada,British Columbia,Vancouver,49.2866,-123.1158
214,2222,CSPV4,,Canada,Alberta,Edmonton,53.4914,-113.4802
215,2222,CSPV4,,United States,Idaho,Preston,42.2074,-111.746
216,2222,CSPV4,,Malaysia,Selangor,Petaling Jaya,3.1097,101.6171
217,2222,CSPV4,,France,Saône-et-Loire,Chalon-sur-Saône,46.7888,4.8488
218,2222,CSPV4,,Canada,Saskatchewan,Regina,50.4855,-104.6163
219,2222,CSPV4,,Australia,Victoria,Melbourne,-37.8103,144.9544
220,2222,CSPV4,,Czechia,Chrudim District,Chrudim,49.9472,15.7875
221,2222,CSPV4,,United States,Idaho,Lewiston,46.1683,-116.9204
222,2222,CSPV4,,United States,Minnesota,Sauk Centre,45.7265,-94.9847
223,2222,CSPV4,,Italy,Provincia di Lodi,Casalpusterlengo,45.1792,9.6483
224,2222,CSPV4,,United States,Arizona,Teec Nos Pos,36.9211,-109.0857
225,2222,CSPV4,,United States,Washington,Woodinville,47.757,-122.0928
226,2222,CSPV4,,United States,Wyoming,Lander,42.6501,-108.4242
227,2222,CSPV4,,Spain,Toledo,Toledo,39.8673,-4.0298
228,2222,CSPV4,,United States,Minnesota,Minneapolis,44.9014,-93.2882
229,2222,CSPV4,,United States,Alaska,Valdez,61.4065,-145.667
230,2222,CSPV4,,United States,Minnesota,Sandstone,46.1501,-92.4231
231,2222,CSPV4,,United Kingdom,Lewisham,Lewisham,51.45,-0.0167
232,2222,CSPV4,,United States,New Jersey,Bloomfield,40.8086,-74.1869
233,2222,CSPV4,,Romania,Judetul Bacau,Comanesti,46.4214,26.4365
234,2222,CSPV4,,United States,Oklahoma,Ringwood,36.3319,-98.2743
235,2222,CSPV4,,Republic of Korea,Seoul,Seoul,37.5985,126.9783
236,2222,CSPV4,,Hong Kong,,Central District,22.291,114.15
237,37777,Dahua Dvr,,Switzerland,Aargau,Buchs,47.3878,8.0735
238,37777,Dahua Dvr,,Switzerland,Bern,Bern,46.9481,7.4474
239,37777,Dahua Dvr,,Switzerland,Saint Gallen,Wattwil,47.2996,9.0866
240,37777,Dahua Dvr,,Switzerland,Bern,Wabern,46.9299,7.4508
241,37777,Dahua Dvr,,Switzerland,,,47.1449,8.1551
242,37777,Dahua Dvr,,Austria,,,48.2,16.3667
243,37777,Dahua Dvr,,Austria,,,48.2,16.3667
244,37777,Dahua Dvr,,Austria,,,48.2,16.3667
245,37777,Dahua Dvr,,Afghanistan,,,33,65
246,37777,Dahua Dvr,,Argentina,,,-34.6033,-58.3817
247,37777,Dahua Dvr,,Angola,Luanda Province,Luanda,-8.8368,13.2332
248,37777,Dahua Dvr,,Chile,Santiago Metropolitan,Santiago,-33.45,-70.6667
249,37777,Dahua Dvr,,Chile,Region de la Araucania,Temuco,-38.7333,-72.6
250,37777,Dahua Dvr,,Oman,Muscat,Muscat,23.6133,58.5933
251,37777,Dahua Dvr,,Pakistan,,,30,70
252,37777,Dahua Dvr,,Palestine,Ramallah,Ramallah,31.9,35.2
253,37777,Dahua Dvr,,Palestine,,Nablus,32.2211,35.2544
254,37777,Dahua Dvr,,Brazil,Rio Grande do Norte,Natal,-5.7833,-35.2167
255,37777,Dahua Dvr,,Brazil,Minas Gerais,Contagem,-19.9167,-44.1
256,37777,Dahua Dvr,,Brazil,Rio de Janeiro,Rio de Janeiro,-22.8751,-43.2775
257,37777,Dahua Dvr,,Brazil,Amazonas,Manaus,-3.1133,-60.0253
258,37777,Dahua Dvr,,Brazil,Sao Paulo,Maua,-23.6667,-46.45
259,37777,Dahua Dvr,,Belarus,Minsk City,Minsk,53.9,27.5667
260,37777,Dahua Dvr,,Belarus,,,53,28
261,37777,Dahua Dvr,,Belarus,,,53,28
262,37777,Dahua Dvr,,Benin,,,9.5,2.25
263,37777,Dahua Dvr,,Benin,,,9.5,2.25
264,37777,Dahua Dvr,,Benin,,,9.5,2.25
265,37777,Dahua Dvr,,Belgium,,,50.85,4.35
266,37777,Dahua Dvr,,Belgium,,,50.85,4.35
267,37777,Dahua Dvr,,Belgium,,,50.85,4.35
268,37777,Dahua Dvr,,Belgium,,,50.85,4.35
269,37777,Dahua Dvr,,Belgium,Antwerp Province,Zwijndrecht,51.2167,4.3333
270,37777,Dahua Dvr,,Belgium,Liège Province,Liège,50.6412,5.5718
